provider_id,provider_name,specialty,city,state,tax_id,license_no
P014089,Chokshi-Pandya,Orthopedics,Jamnagar,Goa,908430420,LIC790693
P034122,Sidhu Group,Cardiology,Mathura,Assam,517646325,LIC198307
P000290,Savant and Sons,OBGYN,Bhiwandi,Gujarat,721255830,LIC249805
P020036,Mittal-Pai,Dermatology,Gwalior,Sikkim,560185783,LIC547391
P029993,"Khare, Mann and Karnik",Urology,Bhatpara,Madhya Pradesh,739996878,LIC592199
P004768,Sehgal and Sons,Orthopedics,Nellore,Mizoram,745377498,LIC498022
P003549,Chana LLC,Orthopedics,Guntakal,Odisha,218846868,LIC484672
P004781,"Krish, Gour and Brar",Dermatology,Kavali,Chhattisgarh,541729841,LIC877944
P014103,Dasgupta-Natarajan,Neurology,Dibrugarh,Gujarat,145369979,LIC239737
P020609,"Bora, Sule and Tailor",Neurology,Bilaspur,Uttar Pradesh,250819155,LIC791666
P006708,"Sehgal, Kota and Bhakta",ENT,Bhalswa Jahangir Pur,Punjab,651009108,LIC464944
P011415,"Sani, Pandey and Reddy",Neurology,Jammu,Rajasthan,593296753,LIC245279
P023361,Maharaj-Iyer,Urology,Dewas,West Bengal,855916180,LIC732532
P016313,Johal-Thaman,Oncology,Serampore,Arunachal Pradesh,937098744,LIC740544
P020715,Sha-Mukherjee,Orthopedics,Mango,Tripura,334126647,LIC403151
P006755,Raval LLC,Neurology,Ramgarh,Assam,359331191,LIC260314
P031072,Kashyap Ltd,Cardiology,Dhanbad,Assam,861374224,LIC271935
P034847,Mammen-Patil,Urology,Aurangabad,Bihar,645507924,LIC562188
P029368,"Raval, Shankar and Mander",Orthopedics,Jamnagar,Himachal Pradesh,941808880,LIC997396
P022781,Madan and Sons,Neurology,Vellore,Himachal Pradesh,255170532,LIC316385
P033786,Mitra and Sons,Cardiology,Gorakhpur,Telangana,742001590,LIC528585
P003855,"Date, Solanki and Chakraborty",Dermatology,Anantapur,Meghalaya,632628074,LIC875158
P003729,Verma Group,Urology,Bhusawal,West Bengal,926669760,LIC895471
P039279,Parmer-Chokshi,Cardiology,Amroha,Odisha,XXXXX,BADLIC
P017157,Ramaswamy-Zachariah,Neurology,Thane,Madhya Pradesh,139392456,LIC874614
P011822,Ahuja LLC,Cardiology,Mahbubnagar,Jharkhand,911942063,LIC114917
P025798,"Sane, Randhawa and Sagar",Oncology,Bulandshahr,Madhya Pradesh,935700333,LIC397493
P019932,Zachariah PLC,Oncology,Bhalswa Jahangir Pur,Madhya Pradesh,590002291,LIC208131
P019958,Mukherjee Inc,Pediatrics,Rajahmundry,Meghalaya,771864021,LIC256111
P018850,Saxena-Dyal,General Medicine,Kishanganj,Gujarat,485816433,LIC200027
P022559,"Grover, Sule and Parsa",OBGYN,Pali,Meghalaya,108585275,LIC345911
P014335,Tandon-Brar,Cardiology,Tinsukia,West Bengal,588532482,LIC556383
P016132,Thaker LLC,Cardiology,Gopalpur,Nagaland,463240322,LIC124853
P038487,Pau-Kala,Oncology,Thanjavur,Punjab,XXXXX,BADLIC
P029298,Bumb-Basu,Cardiology,Udupi,Odisha,784207775,LIC720810
P010771,"Pradhan, Dubey and Samra",Urology,Fatehpur,Mizoram,529817817,LIC160853
P012177,Kaur PLC,Orthopedics,Chennai,Himachal Pradesh,247144850,LIC403343
P002287,Mandal Inc,Neurology,Anand,Himachal Pradesh,608689327,LIC451266
P022551,Dugar LLC,Dermatology,Firozabad,Karnataka,336974742,LIC992057
P028926,Barman-Borde,Cardiology,Srikakulam,Sikkim,705364423,LIC450216
P002364,Sha and Sons,Orthopedics,Imphal,Assam,153550584,LIC984485
P033098,Aggarwal and Sons,Neurology,Nangloi Jat,West Bengal,748547560,LIC674837
P000986,Wason PLC,Dermatology,Dhanbad,Punjab,754507227,LIC494426
P024275,"Sawhney, Desai and Contractor",Neurology,Guna,Haryana,XXXXX,BADLIC
P026104,Gulati Group,Orthopedics,Etawah,Assam,311825084,LIC124574
P005216,Tank-Nagarajan,OBGYN,Bhavnagar,Manipur,978719119,LIC910068
P013448,Agrawal and Sons,Urology,Ambattur,Jharkhand,195118584,LIC794458
P022349,Parekh-Shan,Oncology,Bhalswa Jahangir Pur,Chhattisgarh,459765642,LIC370672
P007771,Sachdev Inc,,Sambhal,Karnataka,XXXXX,BADLIC
